Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
AGO,,2007,,IMF,44319670720.5054,26207262174.5562,10581250704.88,44319670720.5054,26207262174.5562,65266415494.2584,,,,
AGO,,2008,,IMF,64168423018.915,43286269730.1256,7194246953.019,64168423018.915,43286269730.1256,88538665084.8634,,,,
AGO,,2009,,IMF,41310610391.3885,44777840385.4964,-7571651745.69,41310610391.3885,44777840385.4964,70307196181.6539,,,,
AGO,,2010,,IMF,51572807437.8831,35682251333.2141,7505954235.08,51572807437.8831,35682251333.2141,83799474069.7315,,,,
AGO,,2011,,IMF,67822781239.1048,43947410303.4287,13084636207.4109,67822781239.1048,43947410303.4287,111789747670.59,,,,
AGO,,2012,,IMF,71632968360.9542,45919732961.7043,13841185161.0098,71632968360.9542,45919732961.7043,128052915766.343,,,,
AGO,,2013,,IMF,67158241199.6324,47727897153.9588,8145070111.69022,67158241199.6324,47727897153.9588,132339109040.232,,,,
AGO,,2014,,IMF,60770402473.2912,47096036033.19,-3747517596.21103,60770402473.2912,47096036033.19,135966802586.713,,,,
AGO,,2015,,IMF,26926846081.4949,29985009888.782,-10272841902.6133,26926846081.4949,29985009888.782,90496420506.5957,29.7545979506807,33.1339181383385,0.943571561325001,2.60579467
AGO,,2016,,IMF,14838933358.413,13320025154.0847,-3085195463.21077,14838933358.413,13320025154.0847,52761617225.9253,28.1244854472006,25.2456726203982,-2.58004964404932,2.71314979
AGO,,2017,,IMF,21373167719.7176,17134965573.2132,-632867147.90334,21373167719.7176,17134965573.2132,73690154990.7312,29.0041020030504,23.2527202247958,-0.147212941085755,2.79383755
AGO,,2018,,IMF,32444713329.5102,20293075111.1607,7402606519.27953,32444713329.5102,20293075111.1607,79450688259.3664,40.8362898299819,25.541723496358,-1.31636168896895,2.59482241
AGO,,2019,,IMF,28919814315.7895,12080150067.4291,5137394880.2235,28919814315.7895,12080150067.4291,70897962732.0277,40.7907550532833,17.0387830650203,-0.702272957616017,2.47518778
AGO,,2020,,IMF,18583150428.118,13399763093.6897,871917831.29993,18583150428.118,13399763093.6897,48501561203.5686,38.314540742558,27.6274881904292,-5.63821471714934,3.27488494
AGO,,2021,,IMF,31753057845.2236,17769653734.8388,8399451648.83264,31753057845.2236,17769653734.8388,66505129987.7235,47.7452759675607,26.7192226195468,1.19921052145153,3.09277129
AGO,,2022,,IMF,46344761973.8705,26412539213.2023,11762879500.689,46344761973.8705,26412539213.2023,104399746853.401,44.391642097512,25.2994284078973,3.04472652391918,2.92737579
AGO,,2023,,IMF,34656621950.2738,22211258770.9641,4184993795.52075,34656621950.2738,22211258770.9641,84875162197.0107,40.8324662400402,26.1693270398798,1.07809951970673,
ALB,,2000,,IMF,700083432.864841,1508343757.29126,-156300000.0,700083432.864841,1508343757.29126,3584570164.85195,,,,
ALB,,2001,,IMF,836717868.578588,1771127114.7153,-217400000.0,836717868.578588,1771127114.7153,4059064033.13379,,,,
ALB,,2002,,IMF,910729673.560494,2068787029.4532,-407520000.0,910729673.560494,2068787029.4532,4515003116.68036,,,,
ALB,,2003,,IMF,1169850275.75683,2591005999.50156,-406814698.259077,1169850275.75683,2591005999.50156,5801712040.48463,,,,
ALB,,2004,,IMF,1596261949.37986,3220867773.24765,-357925427.326321,1596261949.37986,3220867773.24765,7406645793.44038,,,,
ALB,,2005,,IMF,1853023798.25729,3853672281.63853,-571475353.650417,1853023798.25729,3853672281.63853,8256658249.8128,,,,
ALB,,2006,,IMF,2242665599.57462,4364190390.71407,-670904254.719467,2242665599.57462,4364190390.71407,9150528132.17633,,,,
ALB,,2007,,IMF,3016116393.24477,5867639979.53994,-1150813004.28052,3016116393.24477,5867639979.53994,11116937869.8568,,,,
ALB,,2008,,IMF,3259293797.96584,6717539640.57092,-2013166061.36355,3259293797.96584,6717539640.57092,13258506375.4518,,,,
ALB,,2009,,IMF,3040047669.92651,6004538202.0617,-1852457561.90292,3040047669.92651,6004538202.0617,12335540656.1006,,,,
ALB,,2010,,IMF,3337086751.10777,5792187320.18798,-1355598479.39826,3337086751.10777,5792187320.18798,12086545641.299,,,,
ALB,,2011,,IMF,3769456501.7368,6700234560.7276,-1667175109.43641,3769456501.7368,6700234560.7276,12973755874.5365,,,,
ALB,,2012,,IMF,3565050489.31975,5860879317.95047,-1256644799.54906,3565050489.31975,5860879317.95047,12246499747.9714,,,,
ALB,,2013,,IMF,3694413300.33386,5999382665.71175,-1184891052.23519,3694413300.33386,5999382665.71175,12796985886.1478,,,,
ALB,,2014,,IMF,3732057495.25976,6243003573.18923,-1425385680.43297,3732057495.25976,6243003573.18923,13296322588.1684,,,,
